      Jour      Heure     Minute       Nobs Moyenne(ppm) 
         1         22         37         20        145 
         1         22         38         20        145 
         1         22         39         20        164 
         1         22         40         20        164 
         1         22         41         20        278 
         1         22         42         20        392 
         1         22         43         20        204 
         1         22         44         20        149 
         1         22         45         20        364 
         1         22         46         20        385 
         1         22         47         20        277 
         1         22         48         20        261 
         1         22         49         20        529 
         1         22         50         20        639 
         1         22         51         20        571 
         1         22         52         20        488 
         1         22         53         20        292 
         1         22         54         20        367 
         1         22         55         20        299 
         1         22         56         20        369 
         1         22         57         20        265 
         1         22         58         20        185 
         1         22         59         20        157 
         1         23          0         20        160 
         1         23          1         20        168 
         1         23          2         20        276 
         1         23          3         20        291 
         1         23          4         20        206 
         1         23          5         20        187 
         1         23          6         20        202 
         1         23          7         20        259 
         1         23          8         20        295 
         1         23          9         20        196 
         1         23         10         20        257 
         1         23         11         20        256 
         1         23         12         20        413 
         1         23         13         20        523 
         1         23         14         20        575 
         1         23         15         20        632 
         1         23         16         20        539 
         1         23         17         20        497 
         1         23         18         20        454 
         1         23         19         20        621 
         1         23         20         20        400 
         1         23         21         20        352 
         1         23         22         20        234 
         1         23         23         20        400 
         1         23         24         20        405 
         1         23         25         20        232 
         1         23         26         20        199 
         1         23         27         20        213 
         1         23         28         20        272 
         1         23         29         20        302 
         1         23         30         20        485 
         1         23         31         20        379 
         1         23         32         20        454 
         1         23         33         20        520 
         1         23         34         20        540 
         1         23         35         20        498 
         1         23         36         20        351 
         1         23         37         20        459 
         1         23         38         20        565 
         1         23         39         20        628 
         1         23         40         20        470 
         1         23         41         20        506 
         1         23         42         20        293 
         1         23         43         20        342 
         1         23         44         20        599 
         1         23         45         20        519 
         1         23         46         20        582 
         1         23         47         20        758 
         1         23         48         20        578 
         1         23         49         20        341 
         1         23         50         20        490 
         1         23         51         20        823 
         1         23         52         20        721 
         1         23         53         20        709 
         1         23         54         20        764 
         1         23         55         20        729 
         1         23         56         20        322 
         1         23         57         20        221 
         1         23         58         20        220 
         1         23         59         20        399 
         2          0          0         20        476 
         2          0          1         20        443 
         2          0          2         20        384 
         2          0          3         20        400 
         2          0          4         20        238 
         2          0          5         20        295 
         2          0          6         20        681 
         2          0          7         20        807 
         2          0          8         19        719 
         2          0          9         20        458 
